Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),engine_no
Volkswagen Virtus,R8,TWO-SEATER,4.2,8,M6,Z,21.2,13.4,17.7,16,407,46654
Skoda Slavia,R8,TWO-SEATER,5.2,10,A7,Z,18.2,10.6,14.8,19,347,22763
Maruti Ignis,R8,TWO-SEATER,5.2,10,M6,Z,21.1,13.8,17.8,16,409,38655
Mercedes-Benz GLA,R8 SPYDER,TWO-SEATER,4.2,8,A7,Z,17.6,11,14.6,19,336,89341
Volvo XC90,R8 SPYDER,TWO-SEATER,4.2,8,M6,Z,21.2,13.4,17.7,16,407,26562
Skoda Kushaq,R8 SPYDER,TWO-SEATER,5.2,10,A7,Z,18.2,10.6,14.8,19,347,54983
Maruti XL6,R8 SPYDER,TWO-SEATER,5.2,10,M6,Z,21.1,13.8,17.8,16,409,60587
Jeep Wrangler,RS 5,SUBCOMPACT,4.2,8,A7,Z,15.3,10.9,13.3,21,306,46749
Maruti Eeco,RS 5 CABRIOLET,SUBCOMPACT,4.2,8,A7,Z,15.2,11.3,13.4,21,308,58485
Force Gurkha,RS 7,MID-SIZE,4,8,AS8,Z,15.5,8.8,12.5,23,293,71176
Maruti S-Cross,S4,COMPACT,3,6,A7,Z,13.2,9.2,11.4,25,262,66821
Maruti Ciaz,S4,COMPACT,3,6,M6,Z,14.6,9.8,12.4,23,285,40486
Hyundai Santro,S5,SUBCOMPACT,3,6,A7,Z,13.2,9.2,11.4,25,262,18564
Volkswagen Taigun,S5,SUBCOMPACT,3,6,M6,Z,14.6,9.8,12.4,23,285,25030
BMW X7,S5 CABRIOLET,SUBCOMPACT,3,6,A7,Z,13.3,9.5,11.6,24,267,87882
Audi Q7,S6,MID-SIZE,4,8,A7,Z,14.2,9.7,12.2,23,281,16170
Toyota Vellfire,S7,MID-SIZE,4,8,A7,Z,14.2,9.7,12.2,23,281,29960
Toyota Hilux,S8,MID-SIZE,4,8,AS8,Z,15.8,9.2,12.8,22,300,77385
MG Gloster,SQ5,SUV - SMALL,3,6,AS8,Z,14.9,10.1,12.7,22,292,37268
Lamborghini Aventador,TT COUPE QUATTRO,SUBCOMPACT,2,4,A6,Z,10.4,7.6,9.1,31,209,35647
BMW X1,TT ROADSTER QUATTRO,TWO-SEATER,2,4,A6,Z,10.4,7.6,9.1,31,209,98335
BMW X5,TTS COUPE QUATTRO,SUBCOMPACT,2,4,A6,Z,11.5,8.8,10.3,27,237,17998
Toyota Camry,TTS ROADSTER QUATTRO,TWO-SEATER,2,4,A6,Z,11.5,8.8,10.3,27,237,33698
Volkswagen Tiguan,CONTINENTAL GT,SUBCOMPACT,4,8,AS8,Z,16.3,9.8,13.4,21,314,37959
Rolls-Royce Ghost,CONTINENTAL GT,SUBCOMPACT,6,12,AS8,Z,18.8,11.5,15.5,18,356,73705
Skoda Octavia,CONTINENTAL GTC,SUBCOMPACT,4,8,AS8,Z,17.4,10.2,14.2,20,332,58663
Skoda Superb,CONTINENTAL GTC,SUBCOMPACT,6,12,AS8,Z,20,12.2,16.5,17,380,93712
Audi A6,CONTINENTAL GT SPEED CONVERTIBLE,SUBCOMPACT,6,12,AS8,Z,20,12.2,16.5,17,380,30333
Volvo XC40,FLYING SPUR,MID-SIZE,6,12,AS8,Z,20.3,11.9,16.5,17,388,55328
Kia EV6,MULSANNE,MID-SIZE,6.8,8,AS8,Z,22.3,14.9,19,15,437,26081
Volvo S90,320i,COMPACT,2,4,A8,Z,10,6.5,8.4,34,193,68604
Honda Jazz,320i,COMPACT,2,4,M6,Z,10.4,6.7,8.7,32,200,28481
Land Rover Range Rover Velar,320i xDRIVE,COMPACT,2,4,A8,Z,10.2,7,8.8,32,202,44664
Honda WR-V,328d xDRIVE,COMPACT,2,4,A8,D,7.6,5.5,6.7,42,181,82857
Volvo XC60,328d xDRIVE TOURING,STATION WAGON - SMALL,2,4,A8,D,7.6,5.5,6.7,42,181,28200
Skoda Kodiaq,328i,COMPACT,2,4,A8,Z,10,6.5,8.4,34,193,18111
Audi A4,328i,COMPACT,2,4,M6,Z,10.4,6.7,8.7,32,200,41068
BMW X3,328i xDRIVE,COMPACT,2,4,A8,Z,10.6,7.2,9.1,31,209,52963
BMW Z4,328i xDRIVE GRAN TURISMO,FULL-SIZE,2,4,A8,Z,10.6,7.2,9.1,31,209,36009
BMW 3 Series Gran Limousine,328i xDRIVE TOURING,STATION WAGON - SMALL,2,4,A8,Z,10.6,7.2,9.1,31,209,27134
Nissan Kicks,335i,COMPACT,3,6,A8,Z,11.4,7.3,9.6,29,221,21494
Mahindra Marazzo,335i,COMPACT,3,6,M6,Z,11.8,7.9,10,28,230,51064
Mercedes-Benz C-Class,335i xDRIVE,COMPACT,3,6,A8,Z,11.7,7.8,9.9,29,228,41418
BMW X6,335i xDRIVE,COMPACT,3,6,M6,Z,11.9,8.3,10.3,27,237,51406
Mahindra Alturas G4,335i xDRIVE GRAN TURISMO,FULL-SIZE,3,6,A8,Z,11.9,8,10.1,28,232,67461
Bajaj Qute (RE60),428i COUPE,COMPACT,2,4,A8,Z,10,6.5,8.4,34,193,48373
Volkswagen Vento,428i COUPE,COMPACT,2,4,M6,Z,10.4,6.7,8.7,32,200,46409
Audi Q5,428i xDRIVE COUPE,COMPACT,2,4,A8,Z,10.6,7.2,9.1,31,209,20248
Ferrari Roma,435i COUPE,COMPACT,3,6,A8,Z,11.4,7.3,9.6,29,221,35183
MG ZS EV,435i COUPE,COMPACT,3,6,M6,Z,11.8,7.9,10,28,230,35162
BMW 7 Series,435i xDRIVE COUPE,COMPACT,3,6,A8,Z,11.7,7.8,9.9,29,228,19430
Mercedes-Benz E-Class,435i xDRIVE COUPE,COMPACT,3,6,M6,Z,11.9,8.3,10.3,27,237,62376
BMW i4,528i,MID-SIZE,2,4,A8,Z,10.2,7,8.8,32,202,71443
Land Rover Range Rover Sport,528i xDRIVE,MID-SIZE,2,4,A8,Z,10.6,7.2,9.1,31,209,17140
Jaguar F-TYPE,535d xDRIVE,MID-SIZE,3,6,A8,D,9.2,6.4,7.9,36,213,94913
Datsun redi-GO,535i xDRIVE,MID-SIZE,3,6,A8,Z,11.9,8,10.1,28,232,40662
BMW 2 Series,535i xDRIVE GRAN TURISMO,FULL-SIZE,3,6,A8,Z,12.5,8.6,10.7,26,246,54418
Isuzu D-Max,550i xDRIVE,MID-SIZE,4.4,8,A8,Z,14.4,9.6,12.2,23,281,73576
BMW 5 Series,550i xDRIVE GRAN TURISMO,FULL-SIZE,4.4,8,A8,Z,15,9.8,12.7,22,292,23379
Audi Q2,640i xDRIVE GRAN COUPE,COMPACT,3,6,A8,Z,11.9,8,10.1,28,232,54979
Mercedes-Benz GLS,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8,A8,Z,15,9.8,12.7,22,292,80974
Porsche Cayenne,650i xDRIVE COUPE,COMPACT,4.4,8,A8,Z,14.4,9.6,12.2,23,281,95858
Citroen C5 Aircross,650i xDRIVE GRAN COUPE,COMPACT,4.4,8,A8,Z,15,9.8,12.7,22,292,59156
Datsun GO,740Li xDRIVE,FULL-SIZE,3,6,A8,Z,12.5,8.6,10.7,26,246,85685
Volvo S60,750i xDRIVE,FULL-SIZE,4.4,8,A8,Z,15,9.8,12.7,22,292,18162
Porsche Macan,750Li xDRIVE,FULL-SIZE,4.4,8,A8,Z,15,9.8,12.7,22,292,21504
Jaguar XE,760Li,FULL-SIZE,6,12,A8,Z,18.7,11.5,15.5,18,356,91036
BYD E6,ACTIVEHYBRID 3,COMPACT,3,6,A8,Z,9.2,7.1,8.3,34,191,52274
Jaguar F-Pace,ACTIVEHYBRID 5,MID-SIZE,3,6,A8,Z,10.5,7.9,9.3,30,214,99951
Tata Tiago NRG,ACTIVEHYBRID 7L,FULL-SIZE,3,6,A8,Z,10.5,7.6,9.2,31,212,55247
Mahindra KUV 100 NXT,ALPINA B7 xDRIVE LWB,FULL-SIZE,4.4,8,A8,Z,15,9.8,12.7,22,292,16163
Mini Cooper SE,ALPINA B7 xDRIVE SWB,FULL-SIZE,4.4,8,A8,Z,15,9.8,12.7,22,292,70634
Audi e-tron,M5,MID-SIZE,4.4,8,AM7,Z,17.3,11.5,14.7,19,338,77733
Datsun GO Plus,M5,MID-SIZE,4.4,8,M6,Z,16.2,10.9,13.8,20,317,29347
Mercedes-Benz AMG G 63,M6,COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338,58740
Mercedes-Benz AMG GT,M6,COMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,317,46885
Lexus ES,M6 CABRIOLET,SUBCOMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338,97146
Porsche Taycan,M6 CABRIOLET,SUBCOMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,317,75577
Lexus LS,M6 GRAN COUPE,COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338,56738
Rolls-Royce Cullinan,M6 GRAN COUPE,COMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,317,46348
Isuzu MU-X,X1 xDRIVE28i,SUV - SMALL,2,4,A8,Z,10.6,7.2,9.1,31,209,32556
BMW iX,X1 xDRIVE35i,SUV - SMALL,3,6,A6,Z,13.2,8.9,11.3,25,260,37673
Bentley Flying Spur,X3 xDRIVE28i,SUV - SMALL,2,4,A8,Z,11.2,8.5,10,28,230,72870
Mercedes-Benz S-Class,X3 xDRIVE35i,SUV - SMALL,3,6,A8,Z,12.6,9.1,11,26,253,89604
Maserati Quattroporte,X5 xDRIVE35i,SUV - STANDARD,3,6,A8,Z,12.9,8.8,11.1,25,255,73687
Jaguar XF,X5 xDRIVE50i,SUV - STANDARD,4.4,8,A8,Z,16.3,10.9,13.9,20,320,29939
Mercedes-Benz GLC,X6 M,SUV - STANDARD,4.4,8,A6,Z,18.1,13.7,16.1,18,370,68268
Ferrari Portofino,X6 xDRIVE35i,SUV - STANDARD,3,6,A8,Z,13.6,9.8,11.9,24,274,88497
Mercedes-Benz Maybach S-Class,X6 xDRIVE50i,SUV - STANDARD,4.4,8,A8,Z,16.4,11.3,14.1,20,324,38319
Maserati Levante,Z4 sDRIVE28i,TWO-SEATER,2,4,A8,Z,10.8,7.1,9.1,31,209,17085
Tata Yodha Pickup,Z4 sDRIVE28i,TWO-SEATER,2,4,M6,Z,10.4,6.7,8.7,32,200,16267
Aston Martin DBX,Z4 sDRIVE35i,TWO-SEATER,3,6,AM7,Z,13.7,10.1,12.1,23,278,66492
Bentley Continental,Z4 sDRIVE35i,TWO-SEATER,3,6,M6,Z,12.7,9,11,26,253,64315
Mercedes-Benz EQS,Z4 sDRIVE35is,TWO-SEATER,3,6,AM7,Z,13.7,10.1,12.1,23,278,69664
Ferrari 812,ENCLAVE,SUV - STANDARD,3.6,6,A6,X,14.3,9.9,12.3,23,283,22788
Audi RS7,ENCLAVE AWD,SUV - STANDARD,3.6,6,A6,X,14.6,10.2,12.6,22,290,56679
Mercedes-Benz AMG GLE 63 S,ENCORE,SUV - SMALL,1.4,4,AS6,X,9.5,7.2,8.5,33,196,87332
Mclaren GT,ENCORE AWD,SUV - SMALL,1.4,4,AS6,X,10.2,8,9.2,31,212,62990
Mercedes-Benz G-Class,LACROSSE,MID-SIZE,3.6,6,AS6,X,13.7,8.7,11.5,25,264,52643
Nissan GT-R,LACROSSE,MID-SIZE,3.6,6,AS6,E,18.4,12.2,15.6,18,250,66954
BMW M2,LACROSSE AWD,MID-SIZE,3.6,6,AS6,X,13.7,8.9,11.5,25,264,41891
Mahindra E Verito,LACROSSE AWD,MID-SIZE,3.6,6,AS6,E,19.4,13,16.5,17,264,98480
Rolls Royce Wraith,LACROSSE eASSIST,MID-SIZE,2.4,4,AS6,X,9.6,6.5,8.2,34,189,49002
Mercedes-Benz V-Class,REGAL,MID-SIZE,2,4,AS6,Z,11.5,7.9,9.9,29,228,83526
Porsche 911,REGAL,MID-SIZE,2,4,M6,Z,11.6,7.5,9.8,29,225,65042
Porsche Panamera,REGAL AWD,MID-SIZE,2,4,AS6,Z,12.3,8.7,10.7,26,246,59777
Mini Cooper Convertible,REGAL eASSIST,MID-SIZE,2.4,4,AS6,X,9.6,6.5,8.2,34,189,80612
Maserati Ghibli,VERANO,COMPACT,2,4,AS6,Z,11.5,7.9,9.9,29,228,75309
Lexus NX,VERANO,COMPACT,2,4,M6,Z,11.6,7.5,9.8,29,225,31661
Land Rover Discovery Sport,VERANO,COMPACT,2.4,4,AS6,X,11.3,7.4,9.5,30,218,72083
Bentley Bentayga,ATS,COMPACT,2,4,AS6,Z,11.3,7.5,9.6,29,221,55706
Ferrari SF90 Stradale,ATS,COMPACT,2,4,M6,Z,12.1,7.9,10.2,28,235,72208
Strom Motors R3,ATS,COMPACT,2.5,4,AS6,X,10.5,7.2,9,31,207,57696
Lexus LC 500h,ATS,COMPACT,3.6,6,AS6,X,12.8,8.5,10.9,26,251,77446
Maserati GranTurismo,ATS AWD,COMPACT,2,4,AS6,Z,11.8,8.1,10.1,28,232,19283
Ferrari F8 Tributo,ATS AWD,COMPACT,3.6,6,AS6,X,13.1,9,11.3,25,260,38225
Mercedes-Benz GLE,CTS COUPE,MID-SIZE,3.6,6,AS6,X,13.2,8.7,11.2,25,258,47525
BMW M4 Competition,CTS COUPE AWD,MID-SIZE,3.6,6,AS6,X,13.3,9,11.4,25,262,26294
BMW 8 Series,CTS SEDAN,MID-SIZE,2,4,AS6,Z,11.9,7.9,10.1,28,232,29936
Mini Cooper Countryman,CTS SEDAN,MID-SIZE,3.6,6,AS8,X,12.9,8.2,10.8,26,248,81702
Mercedes-Benz A-Class Limousine,CTS SEDAN AWD,MID-SIZE,2,4,AS6,Z,12.6,8.5,10.8,26,248,95625
Maserati GranCabrio,CTS SEDAN AWD,MID-SIZE,3.6,6,AS6,X,13.1,9,11.3,25,260,39722
Mercedes-Benz AMG GLE 53,CTS SEDAN Vsport,MID-SIZE,3.6,6,AS8,Z,15.1,9.9,12.8,22,294,20696
Aston Martin Vantage,CTS SPORT WAGON,STATION WAGON - SMALL,3,6,AS6,X,12.7,8.9,11,26,253,43965
Mercedes-Benz EQC,CTS SPORT WAGON,STATION WAGON - SMALL,3.6,6,AS6,X,13.3,8.9,11.3,25,260,97128
Mercedes-Benz AMG C 43,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3,6,AS6,X,12.8,9.1,11.1,25,255,69529
Lexus RX,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.6,6,AS6,X,13.3,9,11.4,25,262,93833
Hyundai Xcent Prime,CTS-V COUPE,MID-SIZE,6.2,8,AS6,Z,19.7,12.9,16.6,17,382,88328
Jaguar I-Pace,CTS-V COUPE,MID-SIZE,6.2,8,M6,Z,16.7,12.5,14.8,19,340,21618
Rolls Royce Dawn,CTS-V SEDAN,MID-SIZE,6.2,8,AS6,Z,19.7,12.9,16.6,17,382,87775
BMW X5 M,CTS-V SEDAN,MID-SIZE,6.2,8,M6,Z,16.7,12.5,14.8,19,340,73703
Lamborghini Huracan EVO,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,AS6,Z,19.7,12.9,16.6,17,382,86266
Mini Cooper 3 DOOR,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,M6,Z,16.7,12.5,14.8,19,340,15642
Mercedes-Benz CLS,ESCALADE AWD,SUV - STANDARD,6.2,8,A6,Z,17,11.8,14.7,19,338,21698
Mahindra Bolero PikUp ExtraLong,ESCALADE AWD,SUV - STANDARD,6.2,8,A6,E,23.3,16.1,20.1,14,322,48989
Lexus LX,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A6,Z,18.8,13.4,16.4,17,377,87569
Mercedes-Benz AMG GLC 43,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A6,E,25.7,17.8,22.1,13,354,38181
Mahindra Bolero Camper,SRX,SUV - STANDARD,3.6,6,AS6,X,14.3,9.8,12.3,23,283,64406
Tata Nexon EV Max,SRX AWD,SUV - STANDARD,3.6,6,AS6,X,14.8,10.4,12.8,22,294,17723
Mahindra Bolero Neo,XTS,FULL-SIZE,3.6,6,AS6,X,13.6,8.6,11.4,25,262,27566
Mahindra Bolero Neo,XTS AWD,FULL-SIZE,3.6,6,AS6,X,14,9.1,11.8,24,271,20495
Audi e-tron GT,XTS Vsport AWD,FULL-SIZE,3.6,6,AS6,Z,14.8,9.8,12.6,22,290,98227
Maruti Swift Dzire Tour,CAMARO,COMPACT,3.6,6,AS6,X,13.2,8.7,11.2,25,258,57070
Mercedes-Benz AMG A 35,CAMARO,COMPACT,3.6,6,M6,X,14.2,8.6,11.7,24,269,19660
Mercedes-Benz GLC Coupe,CAMARO 2LS,COMPACT,3.6,6,AS6,X,12.7,7.9,10.5,27,242,72216
Toyota Glanza,CAMARO SS,COMPACT,6.2,8,AS6,Z,15.3,9.8,12.8,22,294,59742
Toyota Glanza,CAMARO SS,COMPACT,6.2,8,M6,Z,15,9.9,12.7,22,292,33017
Porsche Cayenne Coupe,CAMARO ZL1,COMPACT,6.2,8,AS6,Z,19.7,12.9,16.6,17,382,18105
Porsche Cayenne Coupe,CAMARO ZL1,COMPACT,6.2,8,M6,Z,16.7,12.5,14.8,19,340,92029
Honda City Hybrid,CORVETTE,TWO-SEATER,6.2,8,AS6,Z,14.9,8.5,12,24,276,49718
Compass Trailhawk,CORVETTE,TWO-SEATER,6.2,8,M7,Z,13.7,8.2,11.2,25,258,86252
Jeep Meridian,CRUZE,MID-SIZE,1.4,4,AS6,X,9.1,6.3,7.8,36,179,47004
Mercedes-Benz AMG A 45 S,CRUZE,MID-SIZE,1.4,4,M6,X,9.1,6.3,7.8,36,179,20620
BMW 3 Series Gran Limousine,CRUZE,MID-SIZE,1.8,4,AS6,X,10.5,6.7,8.8,32,202,64820
MG Hector Plus,CRUZE,MID-SIZE,1.8,4,M6,X,9.5,6.5,8.2,34,189,53536
Audi RS Q8,CRUZE DIESEL,MID-SIZE,2,4,AS6,D,8.7,5.1,7.1,40,192,24473
Maruti Alto 800 tour,CRUZE ECO,MID-SIZE,1.4,4,A6,X,9.1,6,7.7,37,177,43377
CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,M6,X,8.4,5.6,7.1,40,163,63829
CHEVROLET,EQUINOX,SUV - SMALL,2.4,4,A6,X,10.5,7.3,9.1,31,209,22614
CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,X,13.9,9.6,12,24,276,97211
CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,E,18.8,13.1,16.2,17,259,76851
CHEVROLET,EQUINOX AWD,SUV - SMALL,2.4,4,A6,X,11.5,8.2,10,28,230,31334
CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A6,X,14.8,9.9,12.6,22,290,22435
CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A6,E,19.8,13.6,17,17,272,93580
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,4.3,6,A4,X,17.1,12.7,15.1,19,347,29357
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A4,X,18,13.4,15.9,18,366,45631
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A4,E,23.5,17.7,20.9,14,334,58460
CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,X,18.3,14.2,16.5,17,380,78180
CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,E,23.7,18.8,21.5,13,344,76229
CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,X,18.6,13.9,16.5,17,380,55391
CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,E,23.9,18.5,21.5,13,344,28288
CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A4,X,18.3,14.2,16.5,17,380,65426
CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A4,E,25.3,19.3,22.6,12,362,69618
CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,X,18.6,13.9,16.5,17,380,76842
CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,E,23.9,18.5,21.5,13,344,50251
CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,X,18.3,14.2,16.5,17,380,49487
CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,E,25.3,19.3,22.6,12,362,80674
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.1,14.2,18,16,414,50513
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6,8,A6,X,21.9,15,18.8,15,432,65211
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6,8,A6,E,30,20.4,25.7,11,411,77617
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.3,14.3,18.2,16,419,64874
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6,8,A6,X,22.1,15,18.9,15,435,31551
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6,8,A6,E,30.2,20.5,25.8,11,413,56092
CHEVROLET,IMPALA,FULL-SIZE,2.5,4,AS6,X,11.3,7.5,9.6,29,221,76955
CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,X,12.6,8.2,10.6,27,244,71392
CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,E,16.7,11.3,14.3,20,229,56793
CHEVROLET,IMPALA ECO,FULL-SIZE,2.4,4,AS6,X,10,7,8.7,32,200,21062
CHEVROLET,MALIBU,MID-SIZE,2,4,AS6,Z,11.5,7.9,9.9,29,228,89303
CHEVROLET,MALIBU,MID-SIZE,2.5,4,AS6,X,9.3,6.4,8,35,184,19646
CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,AS6,X,12.2,8.6,10.6,27,244,77540
CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,M6,X,11.8,8.3,10.2,28,235,34851
Maruti Alto K10,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A6,X,13.4,9.9,11.8,24,271,24904
